dauid,Neighbor_dauid
35060684,35061541
35061540,35061541
35060681,35061541
35060682,35061541
35061853,35061542
35061543,35061542
35061852,35061542
35061304,35061542
35061305,35061542
35061306,35061542
35061853,35061543
35060695,35061543
35061857,35061543
35061542,35061543
35060690,35061543
35061854,35061543
35061306,35061543
35061578,35061544
35061545,35061544
35060736,35061544
35060734,35061544
35060735,35061544
35061578,35061545
35061573,35061545
35061571,35061545
35061544,35061545
35061569,35061545
35060734,35061545
35061547,35061546
35061592,35061546
35061593,35061546
35061859,35061547
35060768,35061547
35061546,35061547
35061592,35061547
35061680,35061547
35061593,35061547
35061386,35061547
35061078,35061548
35061616,35061548
35061552,35061548
35061094,35061548
35061549,35061548
35061550,35061548
35061551,35061548
35060531,35061548
35061548,35061549
35061550,35061549
35061551,35061549
35061548,35061550
35061552,35061550
35061549,35061550
35061551,35061550
35060531,35061550
35061548,35061551
35061552,35061551
35061549,35061551
35061550,35061551
35061744,35061737
35061738,35061737
35061745,35061737
35061736,35061737
35061733,35061737
35061744,35061738
35061739,35061738
35061732,35061738
35061745,35061738
35061737,35061738
35061733,35061738
35061740,35061739
35061741,35061739
35061742,35061739
35061743,35061739
35061744,35061739
35061732,35061739
35061738,35061739
35061432,35061740
35061559,35061740
35061741,35061740
35061739,35061740
35061732,35061740
35061670,35061740
35061432,35061741
35061740,35061741
35061742,35061741
35061743,35061741
35061739,35061741
35061741,35061742
35061743,35061742
35061744,35061742
35061739,35061742
35061432,35061743
35061741,35061743
35061742,35061743
35061744,35061743
35061739,35061743
35061432,35061744
35061742,35061744
35061743,35061744
35061739,35061744
35061747,35061744
35061738,35061744
35061746,35061744
35061745,35061744
35061737,35061744
35061736,35061744
35061744,35061745
35061738,35061745
35061746,35061745
35061737,35061745
35061736,35061745
35061733,35061745
35061744,35061746
35061747,35061746
35061745,35061746
35061736,35061746
35061756,35061746
35061432,35061747
35061744,35061747
35061746,35061747
35061442,35061747
35061756,35061747
35061257,35061749
35061751,35061749
35060437,35061749
35060434,35061749
35061863,35061749
35061864,35061749
35061750,35061749
35061752,35061750
35061751,35061750
35061863,35061750
35061749,35061750
35061864,35061750
35061638,35061750
35061752,35061751
35060437,35061751
35061753,35061751
35060434,35061751
35061749,35061751
35061750,35061751
35061751,35061752
35061755,35061752
35061753,35061752
35061754,35061752
35060419,35061752
35060417,35061752
35061750,35061752
35061638,35061752
35060438,35061753
35061752,35061753
35061751,35061753
35060437,35061753
35061755,35061753
35061754,35061753
35061090,35061754
35060438,35061754
35061752,35061754
35061755,35061754
35061753,35061754
35061090,35061755
35061752,35061755
35061753,35061755
35061754,35061755
35060419,35061755
35060417,35061755
35061812,35061808
35061809,35061808
35061811,35061808
35061806,35061808
35061807,35061808
35060292,35061820
35061067,35061820
35061252,35061820
35061833,35061820
35061042,35061820
35061046,35061820
35061822,35061820
35061823,35061820
35061824,35061820
35061047,35061820
35061837,35061820
35060551,35061820
35061531,35061820
35061840,35061821
35061839,35061821
35061822,35061821
35061823,35061821
35061530,35061821
35061531,35061821
35061820,35061822
35061821,35061822
35061823,35061822
35061530,35061822
35061531,35061822
35061820,35061823
35061821,35061823
35061839,35061823
35061822,35061823
35061824,35061823
35061820,35061824
35061839,35061824
35061823,35061824
35061837,35061824
35060970,35061826
35061827,35061826
35061829,35061826
35061808,35061809
35061813,35061809
35061811,35061809
35061810,35061809
35061806,35061809
35061813,35061810
35061809,35061810
35061811,35061810
35061816,35061810
35061804,35061810
35061818,35061810
35061817,35061810
35061808,35061811
35061812,35061811
35061813,35061811
35061809,35061811
35060662,35061811
35061810,35061811
35061804,35061811
35061818,35061811
35061808,35061812
35060663,35061812
35061811,35061812
35060662,35061812
35061807,35061812
35061809,35061813
35061811,35061813
35061810,35061813
35061816,35061813
35061815,35061813
35061384,35061813
35061806,35061813
35061385,35061813
35061818,35061813
35061813,35061815
35061816,35061815
35061818,35061815
35061817,35061815
35061813,35061816
35061810,35061816
35061815,35061816
35061817,35061816
35061810,35061817
35061816,35061817
35061815,35061817
35061818,35061817
35061813,35061818
35061811,35061818
35061810,35061818
35061815,35061818
35061385,35061818
35061804,35061818
35061817,35061818
35060742,35061818
35061386,35061818
35061371,35061369
35061370,35061369
35061372,35061369
35061367,35061369
35061368,35061369
35061371,35061370
35061369,35061370
35061372,35061370
35061368,35061370
35061369,35061371
35061370,35061371
35061372,35061371
35061373,35061371
35061374,35061371
35061375,35061371
35061367,35061371
35061368,35061371
35061506,35061371
35061508,35061371
35061371,35061372
35061369,35061372
35061370,35061372
35060890,35061539
35060888,35061539
35061264,35061539
35061536,35061539
35061538,35061539
35060619,35060608
35060609,35060608
35060607,35060608
35060622,35060608
35060606,35060608
35060613,35060609
35060611,35060609
35060619,35060609
35060610,35060609
35060608,35060609
35060607,35060609
35061197,35060643
35060644,35060643
35060645,35060643
35060641,35060643
35060642,35060643
35060647,35060644
35060643,35060644
35060646,35060644
35060645,35060644
35060642,35060644
35060647,35060645
35061197,35060645
35060644,35060645
35060643,35060645
35060646,35060645
35061171,35060645
35061189,35060645
35061657,35060645
35061174,35060645
35061256,35060645
35060647,35060646
35060644,35060646
35060645,35060646
35060648,35060647
35060649,35060647
35060638,35060647
35060644,35060647
35060646,35060647
35060645,35060647
35060642,35060647
35061390,35060647
35061657,35060647
35061289,35060647
35060647,35060648
35060649,35060648
35061390,35060648
35061289,35060648
35061389,35060648
35060648,35060649
35060647,35060649
35061289,35060649
35060611,35060610
35060609,35060610
35060612,35060610
35060607,35060610
35060613,35060611
35060605,35060611
35060609,35060611
35060610,35060611
35060612,35060611
35060605,35060612
35060611,35060612
35060610,35060612
35060607,35060612
35060606,35060612
35061267,35060613
35060617,35060613
35060605,35060613
35060616,35060613
35060611,35060613
35060619,35060613
35060609,35060613
