DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,CSDcode
35060680,308,109,109,0.0976,008
35060681,567,285,283,0.3229,008
35060682,455,188,181,0.2837,008
35060684,565,187,186,0.206,008
35060685,619,280,279,0.4552,008
35060686,551,190,190,0.2132,008
35060687,380,133,133,0.1491,008
35060688,831,314,311,0.5716,008
35060689,397,146,144,0.2223,008
35060690,424,130,130,0.1548,008
35060695,349,140,134,0.3432,008
35060696,496,232,231,0.3442,008
35060697,551,206,204,1.0279,008
35060698,621,197,194,0.2419,008
35060700,2304,681,672,5.0231,008
35060701,4368,1634,1578,2.759,008
35060702,415,164,163,0.1085,008
35060703,464,188,188,0.1091,008
35060704,1109,424,419,0.26,008
35060706,535,176,176,0.1926,008
35060707,630,228,228,0.1148,008
35060708,371,149,147,0.3161,008
35060709,356,127,127,0.1069,008
35060710,327,120,120,0.0671,008
35060711,904,321,318,1.3808,008
35060712,587,217,214,0.3778,008
35060713,524,182,181,0.149,008
35060717,1073,402,398,0.4371,008
35060718,430,155,154,0.0977,008
35060719,591,212,212,0.2052,008
35060720,246,99,97,0.0398,008
35060721,684,277,277,0.1946,008
35060722,569,220,219,0.2389,008
35060723,519,213,204,0.2193,008
35060724,439,175,175,0.1592,008
35060725,756,279,275,0.21,008
35060726,341,125,123,0.0562,008
35060728,665,276,270,0.1545,008
35060729,758,190,190,0.1144,008
35060731,329,113,113,0.1194,008
35060734,568,235,231,0.2686,008
35060735,1477,470,469,0.6017,008
35060736,788,293,291,0.4087,008
35060737,699,250,250,0.3146,008
35060738,465,169,168,0.224,008
35060739,468,268,263,0.3835,008
35060740,373,171,171,0.2058,008
35060741,377,136,136,0.2326,008
35060742,685,314,313,0.3302,008
35060743,487,216,209,0.1293,008
35060744,555,216,215,0.2571,008
35060745,464,159,158,0.1697,008
35060746,362,139,137,0.3042,008
35060747,1464,434,432,1.0474,008
35060748,503,198,195,0.2401,008
35060749,419,169,169,0.1157,008
35060750,457,213,202,0.1156,008
35060751,458,185,184,0.2786,008
35060752,402,167,166,0.1623,008
35060753,759,296,294,0.3295,008
35060754,738,297,297,0.2532,008
35060755,547,181,178,0.1203,008
35060758,244,86,86,0.0547,008
35060759,501,176,175,0.1512,008
35060760,525,165,164,0.0878,008
35060761,413,150,149,0.1066,008
35060762,472,206,206,0.1259,008
35060763,336,114,114,0.0943,008
35060764,740,237,237,0.1435,008
35060765,999,331,331,0.2661,008
35060766,487,165,165,0.1233,008
35060767,659,243,242,0.2671,008
35060768,569,194,194,0.1121,008
35060771,1783,572,564,0.5622,008
35060773,817,263,262,0.1662,008
35060774,520,173,173,0.0923,008
35060775,949,301,301,0.2838,008
35060777,380,140,140,0.1178,008
35060778,576,191,190,0.1614,008
35060779,431,142,141,0.095,008
35060780,431,147,145,0.1276,008
35060781,789,278,276,0.27,008
35060782,431,150,149,0.1242,008
35060783,528,189,189,0.1147,008
35060784,387,128,128,0.1447,008
35060785,470,177,175,0.2159,008
35060786,272,97,97,0.201,008
35060787,453,186,180,0.1272,008
35060789,285,105,105,0.0751,008
35060790,319,120,119,0.0535,008
35060792,527,188,188,0.1349,008
35060793,327,128,125,0.0663,008
35060794,430,160,160,0.1173,008
35060795,396,143,142,0.0908,008
35060796,449,160,157,0.109,008
35060797,359,135,132,0.0727,008
35060798,440,143,142,0.0757,008
35060799,509,177,177,0.2415,008
35060800,327,110,109,0.0726,008
35060801,470,167,162,0.0881,008
35060802,330,116,115,0.0556,008
35060815,514,188,182,0.2213,008
35060816,256,90,89,0.0762,008
35060817,513,231,215,0.2081,008
35060818,612,251,247,0.1288,008
35060819,321,117,117,0.0801,008
35060820,397,141,140,0.096,008
35060823,379,154,145,16.4337,008
35060833,454,196,184,11.9916,008
35060834,485,210,197,0.5957,008
35060835,457,155,153,0.4211,008
35060836,434,238,217,0.5225,008
35060837,554,181,177,0.7779,008
35060838,869,283,278,2.7877,008
35060840,717,236,236,0.5478,008
35060841,591,226,226,0.6589,008
35060842,379,149,147,0.3896,008
35060843,1099,421,399,41.9035,008
35060844,555,198,192,4.2958,008
35060845,721,310,305,1.7495,008
35060860,730,248,240,0.8472,008
35060861,483,181,175,0.8243,008
35060862,756,300,290,0.1594,008
35060864,493,174,172,0.1099,008
35060865,1014,371,363,0.1844,008
35060866,1182,423,411,0.2435,008
35060867,483,190,187,0.067,008
35060868,413,170,166,0.402,008
35060869,367,142,138,0.1048,008
35060870,470,160,152,0.1169,008
35060871,328,153,128,0.2463,008
35060872,1140,612,579,0.4906,008
35060874,299,111,111,0.0903,008
35060875,702,288,285,0.1154,008
35060876,753,329,311,0.0888,008
35060877,798,262,251,2.1802,008
35060885,745,334,305,0.3683,008
35060888,432,161,159,0.112,008
35060889,308,111,108,0.076,008
35060890,2287,816,796,0.6597,008
35060891,562,291,253,0.3165,008
35060892,437,157,145,0.0486,008
35060893,1043,356,341,0.2375,008
35060894,1046,477,425,0.304,008
35060895,898,391,361,0.3915,008
35060898,701,339,289,0.0599,008
35060899,2251,992,843,0.1106,008
35060902,370,99,81,0.1826,008
35060903,381,142,134,0.1086,008
35060904,448,169,167,0.1141,008
35060905,609,275,268,0.1107,008
35060906,371,154,150,0.1352,008
35060907,389,150,150,0.1222,008
35060908,366,142,141,0.1291,008
35060909,363,131,130,0.1238,008
35060910,661,284,271,0.2136,008
35060911,1206,751,700,0.4978,008
35060912,431,167,162,0.2271,008
35060913,423,173,171,0.1237,008
35060914,426,183,177,0.1322,008
35060915,509,200,198,0.153,008
35060916,441,190,182,0.1327,008
35060917,397,176,173,0.1508,008
35060918,644,376,344,0.1098,008
35060921,373,132,128,0.1377,008
35060922,1760,943,871,0.1866,008
35060923,348,132,128,0.1917,008
35060924,263,109,102,3.8894,008
35060925,762,187,187,0.068,008
35060926,492,192,187,0.1203,008
35060929,401,141,140,0.1177,008
35060930,461,176,174,0.1535,008
35060931,383,161,159,0.1205,008
35060934,1559,854,801,0.228,008
35060935,511,212,210,0.3238,008
35060936,543,233,225,0.299,008
35060937,506,232,225,0.2616,008
35060938,1912,625,616,4.1304,008
35060939,927,291,290,0.2119,008
35060940,287,98,98,0.0611,008
35060941,641,199,196,0.1808,008
35060942,867,277,271,0.1044,008
35060944,668,232,228,0.2125,008
35060945,450,158,155,0.0957,008
35060953,702,227,226,0.1271,008
35060954,381,115,113,0.056,008
35060955,1485,437,433,0.311,008
35060956,639,205,203,0.0984,008
35060957,1171,608,514,0.3249,008
35060961,805,347,303,0.453,008
35060968,620,244,216,0.2277,008
35060970,1468,861,802,0.3768,008
35060972,3064,1962,1722,0.7829,008
35060973,945,578,534,0.4453,008
35060974,462,246,238,0.4993,008
35060975,903,466,424,0.3406,008
35060976,567,234,224,0.0497,008
35060977,490,248,222,0.1226,008
35060978,694,293,269,0.1366,008
35060979,588,500,453,0.1524,008
35060984,505,205,197,0.0751,008
35060985,459,132,127,0.0783,008
35060986,498,148,144,0.0589,008
35060987,491,190,181,0.0619,008
35060988,696,262,247,0.2543,008
35060989,555,277,262,0.6839,008
35060990,472,151,148,0.0483,008
35060991,602,275,267,0.7929,008
35061001,826,474,435,0.0846,008
35061018,489,263,240,0.1941,008
35061019,421,275,252,0.0533,008
35061020,897,721,661,0.051,008
35061026,375,248,193,0.067,008
35061027,265,184,140,0.0331,008
35061030,519,326,284,0.0746,008
35061031,699,367,349,0.143,008
35061033,518,195,189,0.4217,008
35061034,471,186,177,0.2059,008
35061035,440,156,150,0.1726,008
35061036,634,237,235,0.3816,008
35061039,633,353,336,0.2164,008
35061041,587,454,431,0.0231,008
35061042,604,286,236,0.9606,008
35061043,492,263,238,0.1012,008
35061044,432,211,191,0.1122,008
35061045,469,249,217,0.0997,008
35061046,513,306,234,0.2568,008
35061047,727,305,293,0.3263,008
35061051,506,210,203,0.2061,008
35061053,565,230,219,0.364,008
35061054,421,161,149,0.2563,008
35061055,746,284,283,0.2379,008
